objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o35779,542,1522,2,0,0,0,0,0,1,0,0,0,1,0,0,0,true,false,true,2,,,,,
o21460,543,3505,24,6,0,0,8,0,2,1,3,1,1,0,1,0,true,false,true,2,,,,,
o9900,543,2487,39,0,0,0,0,0,23,11,3,0,1,0,0,0,true,false,true,2,,,,,
o26958,543,2768,319,0,1,0,0,0,0,4,0,0,309,1,0,0,true,false,true,2,,,,,
o69840,543,2321,3,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o42161,543,1699,3,0,0,0,0,0,0,1,0,0,1,0,0,1,true,false,true,2,,,,,
o85087,544,896,2,0,0,0,0,0,0,1,0,0,0,0,0,1,true,false,true,2,,,,,
o57048,545,2085,5,0,0,0,1,0,1,0,0,0,1,0,0,1,true,false,true,2,,,,,
o62763,545,1455,3,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o6265,545,2916,179,0,0,0,23,0,57,0,46,0,10,0,1,34,true,false,true,2,,,,,
o12494,546,995,38,1,0,0,30,0,4,0,1,1,1,0,0,0,true,false,true,2,,,,,
o21855,546,2793,6,0,0,1,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o43979,547,3942,26,0,0,1,15,0,1,4,3,0,1,0,1,0,true,false,true,2,,,,,
o42170,547,2268,3,0,0,0,0,0,0,0,1,0,1,0,0,1,true,false,true,2,,,,,
o90282,550,762,3,0,0,0,0,0,0,0,0,0,3,0,0,0,true,false,true,2,,,,,
o9815,550,1540,63,0,0,1,25,0,1,1,22,1,11,1,0,0,true,false,true,2,,,,,
o68349,550,1644,3,0,0,0,0,0,0,1,0,0,1,0,0,1,true,false,true,2,,,,,
o20461,552,1214,3,0,0,0,1,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o68428,552,2706,9,1,0,0,0,0,1,1,2,0,1,1,0,0,true,false,true,2,,,,,
o85187,552,2517,3,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o83280,553,2446,4,0,0,0,1,0,0,0,1,0,1,0,0,1,true,false,true,2,,,,,
o80292,554,1535,2,0,0,0,0,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o83707,554,2411,3,0,1,0,0,0,0,0,1,0,1,0,0,0,true,false,true,2,,,,,
o69485,554,3532,36,0,0,0,0,0,0,1,2,0,15,12,1,1,true,false,true,2,,,,,
o73109,554,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o10012,555,2800,14,0,0,1,5,0,1,1,2,2,1,0,0,1,true,false,true,2,,,,,
o85183,556,2407,3,0,0,0,0,0,0,0,1,0,0,0,0,0,true,false,true,2,,,,,
o71425,556,2138,3,0,0,0,0,0,1,0,2,0,0,0,0,0,true,false,true,2,,,,,
o62768,557,1738,9,0,0,0,0,0,0,0,0,0,4,0,0,3,true,false,true,2,,,,,
o89678,558,2311,6,0,0,0,1,0,0,1,0,0,1,0,0,2,true,false,true,2,,,,,
o17544,559,2512,15,0,0,0,1,0,1,3,2,1,5,0,1,1,true,false,true,2,,,,,
o31276,559,1843,8,0,0,0,0,0,0,3,0,1,1,0,1,1,true,false,true,2,,,,,
o70015,559,1519,6,0,0,0,0,0,1,0,1,0,1,0,1,0,true,false,true,2,,,,,
o80293,560,1358,7,0,0,0,0,0,1,5,0,0,0,1,0,0,true,false,true,2,,,,,
o85951,560,1548,7,0,0,0,1,0,1,0,0,0,0,0,1,3,true,false,true,2,,,,,
o79557,560,756,4,0,0,0,1,0,0,0,0,0,1,0,1,0,true,false,true,2,,,,,
o39514,560,1545,12,0,0,0,1,0,0,1,0,0,1,0,2,7,true,false,true,2,,,,,
o40353,561,2508,15,0,0,0,1,0,0,0,2,0,7,0,1,3,true,false,true,2,,,,,
o87861,563,606,4,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o25106,564,2036,7,0,0,0,0,0,2,0,0,0,3,0,0,1,true,false,true,2,,,,,
o73033,564,1821,3,0,0,0,0,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o76761,564,2072,11,0,0,0,2,0,1,1,0,0,3,0,1,1,true,false,true,2,,,,,
o6321,565,600,1,0,0,0,0,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o9780,565,1604,35,0,0,1,1,0,22,0,6,0,3,0,1,0,true,false,true,2,,,,,
o69157,566,3244,6,0,0,1,2,0,0,0,1,0,0,0,0,1,true,false,true,2,,,,,
o44363,566,1372,3,0,0,0,1,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
