objectId,inSize,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,arrPrep,merge3,genEnv,witness
o25195,173,86,290,290,274,397,886,886,886,886,1330,4
o82286,173,98,389,389,389,551,771,771,771,771,893,2
o25942,174,72,231,231,231,317,391,391,391,391,976,2
o90933,176,96,433,433,324,562,558,558,576,558,1478,5
o47168,176,71,235,235,235,310,442,442,442,442,787,2
o34211,176,84,333,333,333,506,640,640,640,640,873,2
o77414,178,78,236,236,236,268,268,268,268,268,383,12
o25159,178,56,182,182,182,316,486,486,486,486,1308,5
o69753,180,36,123,123,123,166,166,166,166,166,428,2
o75593,184,63,208,208,153,196,196,196,196,196,515,2
o45213,185,90,299,299,299,349,478,478,478,478,943,2
o41604,186,73,271,271,271,401,401,401,401,401,385,4
o67198,187,140,495,495,495,609,918,918,918,918,1117,16
o17123,191,68,231,231,231,306,433,433,433,433,914,2
o44006,193,64,208,208,208,240,242,242,242,242,519,2
o78729,193,98,389,389,389,551,771,771,771,771,893,2
o9972,194,105,334,334,334,398,795,795,795,795,929,2
o81745,195,75,617,617,617,745,745,745,745,745,471,8
o70292,195,58,238,238,238,368,368,368,368,368,371,218
o26951,197,75,882,882,860,1476,776,776,776,776,429,1
o45634,202,68,231,231,231,306,433,433,433,433,914,2
o88603,202,75,309,309,253,338,340,340,340,340,1101,5
o25166,203,74,241,241,241,316,486,486,486,486,865,2
o70327,203,97,428,428,428,715,773,773,773,773,1542,5
o10021,206,123,460,460,460,622,954,954,954,954,897,2
o71845,209,109,311,311,311,386,591,591,591,591,935,2
o17657,210,95,340,340,333,463,463,463,463,463,406,12
o45633,211,36,123,123,123,166,166,166,166,166,363,2
o34209,211,36,123,123,123,166,166,166,166,166,392,1
o58635,213,36,123,123,123,166,166,166,166,166,428,2
o67212,213,116,312,312,312,344,344,344,344,344,421,10
o55684,217,77,310,310,310,499,592,592,592,592,1514,5
o79654,219,118,512,512,512,724,878,878,878,878,1107,11
o58640,219,73,239,239,239,314,483,483,483,483,863,2
o60109,219,68,231,231,231,306,433,433,433,433,914,2
o26952,220,75,882,882,860,1476,776,776,776,776,429,1
o89151,220,67,240,240,240,370,370,370,370,370,392,17
o77740,221,105,384,384,384,509,621,621,621,621,1103,17
o67193,221,117,445,445,445,748,1361,1361,1361,1361,1243,2
o89680,221,84,333,333,333,506,640,640,640,640,873,2
o21079,223,100,329,329,302,577,735,735,735,735,1364,4
o70294,223,97,345,345,338,468,468,468,468,468,408,7
o4366,223,73,262,262,220,348,531,531,531,531,1432,5
o57711,224,68,235,235,235,310,442,442,442,442,758,2
o17125,224,68,231,231,231,306,433,433,433,433,1173,2
o2060,224,36,123,123,123,166,166,166,166,166,428,2
o89152,226,71,234,234,234,266,266,266,266,266,385,1
o24503,227,133,1605,1605,1605,1989,1989,1989,1989,1989,721,5
o56764,227,36,123,123,123,166,166,166,166,166,428,2
o17675,228,101,384,384,384,594,872,872,872,872,1385,4
o13272,229,87,282,282,282,405,829,829,829,829,1329,5
o46560,229,59,142,142,142,177,177,177,177,177,431,1
o12256,229,122,515,515,397,461,679,679,679,679,941,2
o20469,233,64,208,208,208,240,242,242,242,242,519,2
o19363,234,124,449,449,449,563,767,767,767,767,1409,13
o10089,235,138,595,595,501,674,780,780,780,780,1109,2
o66685,237,108,353,353,353,460,1024,1024,1024,1024,1438,2
o9790,237,111,429,429,429,591,977,977,977,977,882,2
o24474,238,68,231,231,231,306,433,433,433,433,943,2
o73935,238,88,295,295,295,339,614,614,614,614,758,2
o89135,239,84,280,280,273,305,305,305,305,305,391,3
o82288,240,63,208,208,153,196,196,196,196,196,515,2
o6021,241,123,560,560,560,870,1398,1398,1398,1398,1083,71
o83710,242,68,231,231,231,306,433,433,433,433,914,2
o76651,243,295,1059,1059,1059,1483,1931,1931,1931,1931,2440,15
o45635,243,83,295,295,295,359,577,577,577,577,780,2
