objectId,inSize,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,arrPrep,merge3,genEnv,witness
no81591,312,131,746,746,694,1050,1761,1761,1761,1761,2647,4
no58631,314,104,454,454,454,593,807,807,807,807,2177,5
no47925,314,88,416,416,388,593,712,712,712,712,2262,5
no84027,316,110,417,417,417,665,913,913,913,913,3017,5
no43970,316,129,702,702,673,931,1427,1427,1427,1427,2589,4
no63285,317,137,514,514,514,823,835,835,900,835,2681,5
no9948,317,131,706,706,677,935,1435,1435,1435,1435,2591,4
no6242,318,135,714,714,683,941,1437,1437,1437,1437,2601,4
no27845,319,182,990,990,922,1339,1796,1796,1796,1796,4049,4
no64742,319,41,123,123,123,166,166,166,166,166,832,4
no76865,319,101,298,298,298,421,591,591,591,591,1476,5
no83139,320,135,613,613,613,991,1229,1229,1229,1229,3526,5
no12345,322,102,346,346,346,453,623,623,623,623,1674,4
no72207,322,113,341,341,341,437,341,341,341,341,773,6152
no42299,323,107,446,446,391,530,909,909,909,909,1824,5
no83739,324,125,480,480,480,608,1146,1146,1146,1146,1960,4
no27838,324,183,1053,1053,896,1302,1979,1979,1979,1979,4009,5
no91109,326,159,909,909,843,1300,1387,1387,1387,1387,3609,5
no89704,328,136,649,649,553,811,1009,1009,1009,1009,2322,5
no9909,329,144,847,847,782,1138,1777,1777,1777,1777,2649,4
no83695,330,127,644,644,644,836,1774,1774,1774,1774,2056,5
no72587,330,167,924,924,869,1286,1913,1913,1913,1913,3968,4
no25182,331,102,319,319,319,418,532,532,532,532,1819,5
no83693,331,107,437,437,437,565,900,900,900,900,1931,5
no21459,331,178,1112,1112,1047,1583,2508,2508,2508,2508,4052,5
no6209,332,139,1028,1028,999,1385,2395,2395,2395,2395,2366,5
no62775,332,95,648,648,648,840,1607,1607,1607,1607,1974,5
no73918,333,97,443,443,415,663,912,912,912,912,2734,5
no53905,334,132,575,575,575,735,1261,1261,1261,1261,2579,5
no25793,335,105,766,766,738,1028,1756,1756,1756,1756,2345,4
no10059,335,136,716,716,689,990,1728,1728,1728,1728,3791,4
no28263,335,136,739,739,677,975,1307,1307,1307,1307,3667,5
no40229,335,209,752,752,752,912,1608,1608,1608,1608,2313,5
no79589,336,87,411,411,384,589,708,708,708,708,2258,5
no21828,337,91,466,466,459,653,562,562,562,562,955,4
no53909,338,106,504,504,454,550,614,614,614,614,1344,5
no76160,338,142,413,413,413,477,477,477,477,477,956,4
no46364,338,117,591,591,558,795,959,959,959,959,2588,4
no54984,339,95,422,422,422,561,818,818,818,818,2393,4
no34373,341,137,514,514,499,808,1045,1045,1045,1045,3363,5
no91006,342,148,809,809,809,1142,2003,2003,2003,2003,3140,4
no31608,342,146,621,621,621,951,1336,1336,1362,1336,3422,5
no41599,342,117,1020,1020,1020,1120,650,650,650,650,793,1
no83723,343,108,563,563,534,771,932,932,932,932,2544,4
no73042,343,94,320,320,320,438,552,552,552,552,1888,4
no48244,343,152,710,710,710,1054,1749,1749,1749,1749,3890,5
no78089,344,84,603,603,603,763,1544,1544,1544,1544,1538,18
no69525,344,140,627,627,627,830,1587,1587,1587,1587,3280,4
no13948,345,169,890,890,801,1192,2064,2064,2064,2064,5134,5
no39440,346,115,584,584,552,789,952,952,952,952,2582,5
no9818,346,118,496,496,452,668,731,731,731,731,2220,4
no53906,346,108,448,448,448,576,1068,1068,1068,1068,2128,4
no48513,347,175,693,693,693,1066,1898,1898,1898,1898,4723,4
no63950,347,125,609,609,589,967,1023,1023,1023,1023,2791,4
no45193,348,148,733,733,733,968,1944,1944,1944,1944,4530,4
no27835,349,175,916,916,806,1194,1196,1196,1279,1196,3575,4
no80622,350,129,756,756,731,1021,1365,1365,1365,1365,2720,5
no21730,351,117,613,613,613,871,1349,1349,1356,1349,2610,5
no76583,351,230,681,681,681,820,820,820,820,820,767,4
no25194,352,183,917,917,917,1289,2343,2343,2343,2343,3828,13
no25191,352,183,917,917,917,1289,2343,2343,2343,2343,3827,13
no85922,353,65,179,179,179,230,230,230,230,230,871,5
no43981,354,140,717,717,690,980,1928,1928,1928,1928,3592,5
no70022,355,114,473,473,473,644,1393,1393,1393,1393,3152,4
no48805,355,100,446,446,446,585,797,797,797,797,2169,5
no60137,357,112,469,469,469,640,1389,1389,1389,1389,3148,5
no78453,357,136,641,641,641,833,1897,1897,1897,1897,3060,4
no46259,357,124,679,679,624,911,1363,1363,1363,1363,3430,5
no74595,358,168,783,783,783,1182,1781,1781,1781,1781,3574,5
no44972,359,164,750,750,735,1160,1437,1437,1437,1437,3704,17
no40225,359,190,827,827,827,1226,1863,1863,1863,1863,3600,4
no81573,360,138,723,723,695,996,1735,1735,1735,1735,3796,5
no78451,360,163,657,657,657,849,1929,1929,1929,1929,3068,5
no58865,360,97,334,334,334,441,610,610,610,610,1941,4
no66644,361,139,657,657,657,860,2389,2389,2389,2389,4818,15
no9850,362,157,595,595,557,927,1152,1152,1152,1152,3742,4
no62379,362,98,442,442,442,581,792,792,792,792,2165,5
no50969,363,130,966,966,966,1395,2495,2495,2495,2495,3030,4
no89702,363,144,823,823,672,948,1186,1186,1186,1186,2739,4
no76909,363,148,745,745,738,1148,1862,1862,1862,1862,3321,4
no67200,364,215,1072,1072,1072,1469,2452,2452,2452,2452,3427,4
no39423,364,121,588,588,559,828,1526,1526,1526,1526,3524,4
no56137,366,83,308,308,308,415,585,585,585,585,1895,4
no40355,366,111,594,594,594,754,1313,1313,1313,1313,2220,4
no16363,367,143,964,964,930,1252,2043,2043,2043,2043,2665,4
no75109,367,105,528,528,528,656,656,656,656,656,944,5
no20466,367,125,679,679,653,911,1402,1402,1402,1402,2571,4
no9812,367,163,945,945,875,1281,2391,2391,2391,2391,3547,5
no73044,368,126,451,451,431,679,746,746,746,746,2320,4
no83725,368,145,804,804,774,1064,1767,1767,1767,1767,2651,4
no76665,368,351,1785,1785,1661,2299,2637,2637,2637,2637,8300,5
no12642,369,86,400,400,400,507,718,718,718,718,1722,14
no9799,369,195,928,928,928,1348,2282,2282,2282,2282,3627,4
no27843,369,194,926,926,897,1219,2489,2489,2489,2489,4703,5
no20458,370,109,560,560,535,801,863,863,908,863,2677,5
no43007,371,149,657,657,637,1015,1083,1083,1083,1083,2774,5
no25186,371,212,1131,1131,1131,1567,2344,2344,2369,2344,3115,12
no79481,372,116,591,591,558,795,960,960,960,960,2568,4
no12491,373,98,471,471,374,481,651,651,651,651,1911,5
no79441,373,161,844,844,763,1061,1397,1397,1397,1397,3802,5
no36464,374,118,598,598,564,801,967,967,967,967,2574,5
no78129,374,95,385,385,385,492,1125,1125,1125,1125,2166,55
no57656,375,151,767,767,745,1035,2037,2037,2037,2037,2365,5
no51255,376,121,579,579,579,739,1283,1283,1283,1283,2210,5
no81593,376,159,911,911,854,1285,2592,2592,2592,2592,4692,5
no71424,377,138,684,684,684,876,1630,1630,1630,1630,2269,4
no77425,377,190,2272,2272,2272,3008,1922,1922,1922,1922,1103,5
no49989,380,111,421,421,401,649,716,716,716,716,2261,4
no12220,380,181,1046,1046,890,1296,1972,1972,1972,1972,4003,5
no33732,383,159,780,780,760,1202,2207,2207,2207,2207,5206,5
no71539,383,157,788,788,788,1121,2460,2460,2460,2460,4060,4
no68438,384,80,302,302,302,409,579,579,579,579,1889,4
no59673,384,104,454,454,454,593,807,807,807,807,2177,4
no9949,384,180,604,604,588,905,1237,1237,1237,1237,3485,4
no65468,385,169,821,821,821,1143,1931,1931,1931,1931,3368,4
no47167,386,168,900,900,840,1202,1943,1943,1943,1943,4323,4
no44260,386,96,438,438,438,577,787,787,787,787,2161,4
no85193,387,152,704,704,661,1100,1146,1146,1146,1146,3184,5
